EXPENSE_ID,REPORT_ID,EMPLOYEE_ID,TRANSACTION_DATE,EXPENSE_TYPE,ORIGIN,DESTINATION,DEPARTURE_DATE,RETURN_DATE,NIGHTS,DISTANCE_KM,DISTANCE_UNIT,CABIN_CLASS,AMOUNT,CURRENCY,DESCRIPTION
EXP-2024-001,RPT-2024-Q1-001,EMP001,2024-01-08,AIR,LHR,JFK,2024-01-08,2024-01-10,,,,economy,842.00,GBP,New York client meeting - sales Q1
EXP-2024-002,RPT-2024-Q1-001,EMP001,2024-01-09,HOTEL,,,2024-01-08,2024-01-10,2,,,, 420.00,USD,Marriott Times Square NYC
EXP-2024-003,RPT-2024-Q1-001,EMP001,2024-01-09,TAXI,,,,,,28,KM,,65.00,USD,JFK to hotel
EXP-2024-004,RPT-2024-Q1-001,EMP001,2024-01-10,TAXI,,,,,,28,KM,,62.00,USD,Hotel to JFK
EXP-2024-005,RPT-2024-Q1-001,EMP001,2024-01-10,AIR,JFK,LHR,2024-01-10,2024-01-11,,,,,792.00,GBP,Return LHR
EXP-2024-006,RPT-2024-Q1-002,EMP002,2024-01-15,AIR,LHR,SIN,2024-01-15,2024-01-22,,,,,3200.00,GBP,Singapore partner summit
EXP-2024-007,RPT-2024-Q1-002,EMP002,2024-01-15,HOTEL,,,2024-01-15,2024-01-22,7,,,, 2450.00,SGD,Marina Bay Sands
EXP-2024-008,RPT-2024-Q1-002,EMP002,2024-01-22,AIR,SIN,LHR,2024-01-22,2024-01-23,,,,business,3200.00,GBP,Return Singapore
EXP-2024-009,RPT-2024-Q1-003,EMP003,2024-01-18,AIR,MAN,LHR,2024-01-18,2024-01-18,,,,economy,89.00,GBP,London internal meeting
EXP-2024-010,RPT-2024-Q1-003,EMP003,2024-01-18,RAIL,,,,,,182,KM,,34.50,GBP,Paddington to Birmingham return
EXP-2024-011,RPT-2024-Q1-003,EMP003,2024-01-18,TAXI,,,,,,12,KM,,18.00,GBP,LHR to Paddington
EXP-2024-012,RPT-2024-Q1-004,EMP004,2024-02-05,AIR,LHR,DXB,2024-02-05,2024-02-08,,,,economy,680.00,GBP,Dubai trade show
EXP-2024-013,RPT-2024-Q1-004,EMP004,2024-02-05,HOTEL,,,2024-02-05,2024-02-08,3,,,,1800.00,AED,Atlantis The Palm
EXP-2024-014,RPT-2024-Q1-004,EMP004,2024-02-08,AIR,DXB,LHR,2024-02-08,2024-02-09,,,,economy,640.00,GBP,Return Dubai
EXP-2024-015,RPT-2024-Q1-005,EMP005,2024-02-12,AIR,LHR,SYD,2024-02-12,2024-02-19,,,,business,8400.00,GBP,Australia ops review
EXP-2024-016,RPT-2024-Q1-005,EMP005,2024-02-12,HOTEL,,,2024-02-12,2024-02-19,7,,,,3850.00,AUD,Four Seasons Sydney
EXP-2024-017,RPT-2024-Q1-005,EMP005,2024-02-19,AIR,SYD,LHR,2024-02-19,2024-02-21,,,,business,8400.00,GBP,Return Sydney
EXP-2024-018,RPT-2024-Q1-006,EMP001,2024-02-20,AIR,LHR,CDG,2024-02-20,2024-02-21,,,,economy,210.00,GBP,Paris day trip
EXP-2024-019,RPT-2024-Q1-006,EMP001,2024-02-20,TAXI,,,,,,18,KM,,42.00,EUR,CDG to client office
EXP-2024-020,RPT-2024-Q1-006,EMP001,2024-02-20,TAXI,,,,,,18,KM,,38.00,EUR,Return to CDG
EXP-2024-021,RPT-2024-Q1-007,EMP006,2024-03-04,CAR,,,,,,842,KM,,186.00,GBP,UK depot tour rental car
EXP-2024-022,RPT-2024-Q1-007,EMP006,2024-03-04,HOTEL,,,2024-03-04,2024-03-06,2,,,,240.00,GBP,Premier Inn Birmingham
EXP-2024-023,RPT-2024-Q1-008,EMP007,2024-03-11,AIR,LHR,BOM,2024-03-11,2024-03-15,,,,economy,920.00,GBP,Mumbai supplier audit
EXP-2024-024,RPT-2024-Q1-008,EMP007,2024-03-11,HOTEL,,,2024-03-11,2024-03-15,4,,,,28000.00,INR,Taj Lands End Mumbai
EXP-2024-025,RPT-2024-Q1-008,EMP007,2024-03-15,AIR,BOM,LHR,2024-03-15,2024-03-16,,,,economy,890.00,GBP,Return Mumbai
EXP-2024-026,RPT-2024-Q1-009,EMP002,2024-03-18,AIR,LHR,XXX,2024-03-18,2024-03-20,,,,economy,540.00,GBP,Unknown destination code
EXP-2024-027,RPT-2024-Q1-010,EMP003,2024-03-20,RAIL,,,,,,0,KM,,45.00,GBP,Rail ticket - distance not captured
EXP-2024-028,RPT-2024-Q1-011,EMP008,2024-03-25,AIR,LHR,NRT,2024-03-25,2024-04-01,,,,first,12800.00,GBP,Tokyo exec summit
EXP-2024-029,RPT-2024-Q1-011,EMP008,2024-03-25,HOTEL,,,2024-03-25,2024-04-01,7,,,,280000.00,JPY,Hotel Okura Tokyo
EXP-2024-030,RPT-2024-Q1-011,EMP008,2024-04-01,AIR,NRT,LHR,2024-04-01,2024-04-02,,,,first,12800.00,GBP,Return Tokyo
