ACCOUNT_ID,METER_ID,SERVICE_ADDRESS,BILLING_PERIOD_START,BILLING_PERIOD_END,CONSUMPTION_KWH,PEAK_KWH,OFFPEAK_KWH,UNIT,TARIFF_CODE,TOTAL_COST,CURRENCY,COUNTRY
ACT-UK-001,MTR-BHM-001A,Acme Birmingham Manufacturing - Unit 4 Aston Way Birmingham B6 5RQ,2023-12-28,2024-01-29,142300,89400,52900,kWh,T-BIZ-HALF,18742.30,GBP,GB
ACT-UK-001,MTR-BHM-001B,Acme Birmingham Manufacturing - Unit 4 Aston Way Birmingham B6 5RQ,2023-12-28,2024-01-29,38700,24200,14500,kWh,T-BIZ-HALF,5099.40,GBP,GB
ACT-UK-002,MTR-LDS-002A,Acme Leeds Warehouse - Kirkstall Road Leeds LS4 2AQ,2024-01-01,2024-01-31,28400,,28400,kWh,T-BIZ-FLAT,3742.80,GBP,GB
ACT-UK-003,MTR-LON-003A,Acme London HQ - 22 Bishopsgate London EC2N 4BQ,2024-01-01,2024-01-31,52100,38700,13400,kWh,T-BIZ-RENEW-WIND,6866.20,GBP,GB
ACT-DE-001,MTR-MUC-004A,Acme München Assembly Plant - Industriestraße 14 München 80939,2024-01-01,2024-01-31,198500,,198500,kWh,GEWERBE-HT,31760.00,EUR,DE
ACT-DE-002,MTR-HAM-005A,Acme Hamburg Distribution - Hafenstraße 88 Hamburg 20359,2024-01-01,2024-01-31,74200,,74200,kWh,GEWERBE-NT,11872.00,EUR,DE
ACT-US-001,MTR-DET-006A,Acme Detroit Plant - 1400 Industrial Parkway Detroit MI 48201,2023-12-31,2024-01-30,387600,241200,146400,kWh,COM-TOU-P,46512.00,USD,US
ACT-US-002,MTR-CHI-007A,Acme Chicago Office - 311 W Monroe St Chicago IL 60606,2024-01-01,2024-01-31,31200,22700,8500,kWh,COM-OFFICE,3744.00,USD,US
ACT-AU-001,MTR-SYD-008A,Acme Sydney Operations - 100 Harris Street Pyrmont NSW 2009,2024-01-01,2024-01-31,44800,,44800,kWh,C2-LARGE,8960.00,AUD,AU
ACT-IN-001,MTR-BLR-009A,Acme Bangalore Tech Centre - ITPL Campus Block A Whitefield Bangalore 560066,2024-01-01,2024-01-31,89300,,89300,kWh,HT-INDUSTRIAL,625100.00,INR,IN
ACT-UK-001,MTR-BHM-001A,Acme Birmingham Manufacturing - Unit 4 Aston Way Birmingham B6 5RQ,2024-01-30,2024-02-28,138900,87200,51700,kWh,T-BIZ-HALF,18292.50,GBP,GB
ACT-UK-001,MTR-BHM-001B,Acme Birmingham Manufacturing - Unit 4 Aston Way Birmingham B6 5RQ,2024-01-30,2024-02-28,36800,23100,13700,kWh,T-BIZ-HALF,4851.60,GBP,GB
ACT-UK-002,MTR-LDS-002A,Acme Leeds Warehouse - Kirkstall Road Leeds LS4 2AQ,2024-02-01,2024-02-29,27100,,27100,kWh,T-BIZ-FLAT,3571.20,GBP,GB
ACT-UK-003,MTR-LON-003A,Acme London HQ - 22 Bishopsgate London EC2N 4BQ,2024-02-01,2024-02-29,49800,37100,12700,kWh,T-BIZ-RENEW-WIND,6561.60,GBP,GB
ACT-DE-001,MTR-MUC-004A,Acme München Assembly Plant - Industriestraße 14 München 80939,2024-02-01,2024-02-29,185200,,185200,kWh,GEWERBE-HT,29632.00,EUR,DE
ACT-US-001,MTR-DET-006A,Acme Detroit Plant - 1400 Industrial Parkway Detroit MI 48201,2024-01-30,2024-02-28,401200,249800,151400,kWh,COM-TOU-P,48144.00,USD,US
ACT-UK-001,MTR-BHM-001A,Acme Birmingham Manufacturing - Unit 4 Aston Way Birmingham B6 5RQ,2024-02-29,2024-03-30,145700,91800,53900,kWh,T-BIZ-HALF,19191.90,GBP,GB
ACT-UK-002,MTR-LDS-002A,Acme Leeds Warehouse - Kirkstall Road Leeds LS4 2AQ,2024-03-01,2024-03-31,29800,,29800,kWh,T-BIZ-FLAT,3927.60,GBP,GB
ACT-DE-001,MTR-MUC-004A,Acme München Assembly Plant - Industriestraße 14 München 80939,2024-03-01,2024-03-31,602000,,602000,kWh,GEWERBE-HT,96320.00,EUR,DE
ACT-UK-004,MTR-UNKN-010,Unknown New Site - Address Pending Verification,2024-03-01,2024-03-31,-2400,,,kWh,T-BIZ-FLAT,-316.20,GBP,GB
